grch38	REFERENCE
chm13	REFERENCE
hg002	REFERENCE
GM18501	1000G-ONT
GM18519	1000G-ONT
GM18856	1000G-ONT
GM18861	1000G-ONT
GM18864	1000G-ONT
GM18865	1000G-ONT
GM18871	1000G-ONT
GM18876	1000G-ONT
GM18924	1000G-ONT
GM19035	1000G-ONT
GM19041	1000G-ONT
GM19308	1000G-ONT
GM19312	1000G-ONT
GM19462	1000G-ONT
GM19471	1000G-ONT
GM19473	1000G-ONT
HG00105	1000G-ONT
HG00110	1000G-ONT
HG00121	1000G-ONT
HG00127	1000G-ONT
HG00136	1000G-ONT
HG00151	1000G-ONT
HG00331	1000G-ONT
HG00410	1000G-ONT
HG00473	1000G-ONT
HG00525	1000G-ONT
HG00599	1000G-ONT
HG00631	1000G-ONT
HG00675	1000G-ONT
HG00705	1000G-ONT
HG00706	1000G-ONT
HG00728	1000G-ONT
HG01046	1000G-ONT
HG01122	1000G-ONT
HG01281	1000G-ONT
HG01312	1000G-ONT
HG01363	1000G-ONT
HG01369	1000G-ONT
HG01372	1000G-ONT
HG01395	1000G-ONT
HG01414	1000G-ONT
HG01468	1000G-ONT
HG01501	1000G-ONT
HG01615	1000G-ONT
HG01695	1000G-ONT
HG01790	1000G-ONT
HG01797	1000G-ONT
HG01801	1000G-ONT
HG01812	1000G-ONT
HG01862	1000G-ONT
HG02048	1000G-ONT
HG02051	1000G-ONT
HG02102	1000G-ONT
HG02185	1000G-ONT
HG02252	1000G-ONT
HG02262	1000G-ONT
HG02282	1000G-ONT
HG02312	1000G-ONT
HG02345	1000G-ONT
HG02373	1000G-ONT
HG02389	1000G-ONT
HG02396	1000G-ONT
HG02409	1000G-ONT
HG02502	1000G-ONT
HG02614	1000G-ONT
HG02615	1000G-ONT
HG02694	1000G-ONT
HG02731	1000G-ONT
HG02817	1000G-ONT
HG02974	1000G-ONT
HG02979	1000G-ONT
HG03022	1000G-ONT
HG03069	1000G-ONT
HG03120	1000G-ONT
HG03121	1000G-ONT
HG03168	1000G-ONT
HG03279	1000G-ONT
HG03499	1000G-ONT
HG03548	1000G-ONT
HG03563	1000G-ONT
HG03571	1000G-ONT
HG03631	1000G-ONT
HG03643	1000G-ONT
HG03646	1000G-ONT
HG03668	1000G-ONT
HG03717	1000G-ONT
HG03731	1000G-ONT
HG03744	1000G-ONT
HG03770	1000G-ONT
HG03774	1000G-ONT
HG03814	1000G-ONT
HG03861	1000G-ONT
HG03864	1000G-ONT
HG03868	1000G-ONT
HG03898	1000G-ONT
HG03919	1000G-ONT
HG03971	1000G-ONT
HG04054	1000G-ONT
HG04063	1000G-ONT
HG04216	1000G-ONT
grch38	HPRC-HiFi
chm13	HPRC-HiFi
HG00438	HPRC-HiFi
HG00621	HPRC-HiFi
HG00673	HPRC-HiFi
HG00733	HPRC-HiFi
HG00735	HPRC-HiFi
HG00741	HPRC-HiFi
HG01071	HPRC-HiFi
HG01106	HPRC-HiFi
HG01109	HPRC-HiFi
HG01123	HPRC-HiFi
HG01175	HPRC-HiFi
HG01243	HPRC-HiFi
HG01258	HPRC-HiFi
HG01358	HPRC-HiFi
HG01361	HPRC-HiFi
HG01891	HPRC-HiFi
HG01928	HPRC-HiFi
HG01952	HPRC-HiFi
HG01978	HPRC-HiFi
HG02055	HPRC-HiFi
HG02080	HPRC-HiFi
HG02109	HPRC-HiFi
HG02145	HPRC-HiFi
HG02148	HPRC-HiFi
HG02257	HPRC-HiFi
HG02486	HPRC-HiFi
HG02559	HPRC-HiFi
HG02572	HPRC-HiFi
HG02622	HPRC-HiFi
HG02630	HPRC-HiFi
HG02717	HPRC-HiFi
HG02723	HPRC-HiFi
HG02818	HPRC-HiFi
HG02886	HPRC-HiFi
HG03098	HPRC-HiFi
HG03453	HPRC-HiFi
HG03486	HPRC-HiFi
HG03492	HPRC-HiFi
HG03516	HPRC-HiFi
HG03540	HPRC-HiFi
HG03579	HPRC-HiFi
NA18906	HPRC-HiFi
NA20129	HPRC-HiFi
NA21309	HPRC-HiFi
